Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link,Salles d'eau,Toilettes,Surface séjour,Surface terrasse,Etage,Nbre d'étages,Exposition,Salles de bain,Vue,Environnement,Surface totale,Taxe foncière,Surface terrain,Taxe habitation
30/10/22,Ducos,97224,Appartement,APPARTEMENTS NEUFS T3 A 165 168€,165168,3,2,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/229271328540711/,1,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,APPARTEMENTS NEUFS STUDIOS A 99 675€,99675,1,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/229261918126536/,1,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,Appartement T5 (4 chambres) à Ducos,199500,5,4,100.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/229742433891621/,0,2,0.0,0.0,0,2,0,2,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,DUCOS VILLA T4,296800,4,3,100.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/228304309264805/,2,2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
30/10/22,Ducos,97224,Appartement,BEL APPARTEMENT,258940,4,3,80.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/228343731373432/,2,3,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,CHARMENT APPARTEMENT T3,213840,3,2,65.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/228343731373429/,1,2,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,"Vends T2 à 5mns Aéroport, Ducos",106870,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/227124433320219/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,VILLA T3 80M2 - DUCOS - INVESTISSEMENT,246100,3,2,80.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/226104452563926/,1,2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,Appartement 3 pièces avec balcon en vente à Ducos,137500,3,2,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/226143122266929/,1,1,23.0,7.0,1,4,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,APPARTEMENTS NEUFS DU STUDIO AU T3 DÈS 99 675€ TTC DUCOS,99675,2,0,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/223281184357457/,0,0,0.0,0.0,0,2,0,0,0,Urbain,0.0,0.0,0.0,0.0
