Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 3 ,250000,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217913/
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 3 ,250000,3,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217910/
15/11/22,Ducos,97224,Appartement,Appartement sis Résidence Pivoine Lot Lagon Florida Ducos 2 ,220000,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221115131217907/
07/11/22,Ducos,97224,Maison / Villa,Charmante et spacieuse villa COUP DE COEUR,618000,4,3,170.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221171423604015/
05/11/22,Ducos,97224,Maison / Villa,DUCOS - IMMEUBLE DE RAPPORT - A VENDRE- 140 000EUR,140000,10,5,290.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221154388669845/
30/10/22,Ducos,97224,Immeuble,IMMEUBLE DE RAPPORT,945000,12,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221030141554373/
30/10/22,Ducos,97224,Maison / Villa,Vente Villa 9 pièces 120 m2 à Ducos,525000,9,8,120.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221026427303950/
30/10/22,Ducos,97224,Terrain,TERRAIN A BATIR 125000EUR,125000,0,0,657.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221023185163467/
30/10/22,Ducos,97224,Appartement,Appartement à vendre Ducos,279000,4,3,99.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221012434476649/
30/10/22,Ducos,97224,Immeuble,"[SOUS OFFRE] Immeuble Yeo - 2 niveaux, excellent rapport loc",210000,4,0,140.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221011191388258/
30/10/22,Ducos,97224,Maison / Villa,Grande villa F7 avec vue mer et beau terrain,574750,7,5,217.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221041522923805/
